gene,mean_healthy,mean_disease,log2FC,pvalue,cohens_d,FDR
ENSG00000073861,1.9205189799840656,1.719742469919131,-0.20077651006493458,0.5227032362342364,0.1137712963676307,0.9998566354027545
ENSG00000006025,4.092470541392599,4.002260573278208,-0.09020996811439108,0.673133556642046,0.0750463785197394,0.9998566354027545
ENSG00000159111,6.077114452525784,5.9456272801165815,-0.13148717240920238,0.446671815399001,0.1356722607668982,0.9998566354027545
ENSG00000141294,1.3527014332610765,1.2099825583614199,-0.14271887489965662,0.24022574446544023,0.20945248781177803,0.9998566354027545
ENSG00000141295,5.367071236112814,5.493413898255665,0.12634266214285095,0.417402034173204,-0.1444131258099141,0.9998566354027545
ENSG00000167182,4.6462648507854825,4.596301828325399,-0.04996302246008355,0.582208852294704,0.09789539383994442,0.9998566354027545
ENSG00000108439,3.915967211445763,3.7405388763335354,-0.17542833511222744,0.19120060985212545,0.23363119985064976,0.9998566354027545
ENSG00000108465,7.964296226160289,7.987891218537191,0.023594992376902546,0.732807130376239,-0.06072716004881366,0.9998566354027545
ENSG00000005243,0.7094949478357183,0.8188852506573234,0.10939030282160511,0.5087021438840891,-0.1176311996831192,0.9998566354027545
ENSG00000082641,3.3662639508423577,3.213241185199674,-0.1530227656426839,0.15032941239135686,0.25745782514523924,0.9998566354027545
ENSG00000108468,4.271283190538917,4.181832991683968,-0.08945019885494876,0.38006582892741103,0.15637039951945716,0.9998566354027545
ENSG00000002919,5.500598347166454,5.476575914568751,-0.02402243259770298,0.8049186337437431,0.043948657466293346,0.9998566354027545
ENSG00000141293,5.837256129153353,5.731269591415426,-0.10598653773792677,0.8278533578717981,0.03867998806565841,0.9998566354027545
ENSG00000173917,2.6178991185457243,2.1396383118781066,-0.4782608066676177,0.03954240678302494,0.3698454659963295,0.90685144157693
ENSG00000120093,1.1857696181002493,0.9750079950156499,-0.21076162308459934,0.1646826330515808,0.2482808566540196,0.9998566354027545
ENSG00000260027,0.8691163856125327,1.0381441625610965,0.16902777694856386,0.14345541085636423,-0.2615767959542447,0.9998566354027545
ENSG00000159182,0.33568841526355264,0.29896761994373766,-0.03672079531981498,0.699714587201649,0.06887395076657186,0.9998566354027545
ENSG00000170703,0.6056056316475263,0.6111743439793627,0.005568712331836312,0.9590777896560321,-0.009154823649754139,0.9998566354027545
ENSG00000136436,7.702373646162071,7.534607643928315,-0.1677660022337557,0.11318882774363738,0.28311404187544204,0.9998566354027545
ENSG00000159199,4.790616760760854,4.798903934185197,0.008287173424342598,0.9600093272539538,-0.008916695951427444,0.9998566354027545
ENSG00000159202,5.122161367008392,5.007823323503682,-0.11433804350471011,0.2906328523124396,0.18834127185912417,0.9998566354027545
ENSG00000159210,4.228555474758857,4.3673916319384825,0.13883615717962527,0.10223267372697527,-0.2923189464149831,0.9998566354027545
ENSG00000159217,2.389701431021156,2.2771673755488275,-0.11253405547232864,0.3184701209016014,0.17782368100117527,0.9998566354027545
ENSG00000167080,1.3000641637216557,1.3244817487646097,0.024417585042953993,0.7211111169749473,-0.06352380842129403,0.9998566354027545
ENSG00000167083,2.9034409762718143,2.850841355576262,-0.05259962069555213,0.8547538625835869,0.032563703112451194,0.9998566354027545
ENSG00000108798,5.076176540803529,4.940224353939175,-0.13595218686435473,0.7022037360638944,0.06801800958183972,0.9998566354027545
ENSG00000173868,2.588556555794701,2.353266354525884,-0.23529020126881717,0.4614077260686166,0.1312773989227306,0.9998566354027545
ENSG00000198740,4.637767749808212,4.54487369768605,-0.09289405212216195,0.36020356340842274,0.16306656783348739,0.9998566354027545
ENSG00000167085,5.900180358087029,5.954364590372309,0.05418423228528013,0.7661258824821796,-0.05307462467653362,0.9998566354027545
ENSG00000121067,6.939831936165411,6.9356941299588,-0.004137806206610861,0.9516967209727387,0.010773961405294257,0.9998566354027545
ENSG00000121073,6.091791692177597,6.010801289743243,-0.08099040243435418,0.436338434926797,0.13866431042173652,0.9998566354027545
ENSG00000121104,4.370415723185942,4.512425665884867,0.14200994269892497,0.4788177503951153,-0.1260677620543703,0.9998566354027545
ENSG00000136504,6.712979490065106,6.7223112984692595,0.009331808404153819,0.9404910354988565,-0.013300844643848843,0.9998566354027545
ENSG00000176358,3.7035319173624774,3.6851017687254077,-0.01843014863706971,0.9174304240892208,0.01843628084878334,0.9998566354027545
