gene_id,mean_healthy,mean_disease,log2fc,pvalue,fdr,significant
ENSG00000182866,6.878725822060892,7.010636193926429,0.027400071998850552,0.8214176829833073,0.9991161405974711,False
ENSG00000142910,1.0195461618091122,1.0037256192646875,-0.022539871193682674,0.8214456725224455,0.9991161405974711,False
ENSG00000204138,4.9053099036957235,4.878964358228149,-0.007767752793207856,0.8216278184666439,0.9991161405974711,False
ENSG00000143748,4.8947801338282915,4.9255778335855025,0.009047081049965409,0.8217435088562459,0.9991161405974711,False
ENSG00000158062,5.872706079671592,5.92686226264669,0.013240851178115949,0.8228641002732957,0.9991161405974711,False
ENSG00000067533,2.8416063317101417,2.874001332695261,0.016348308637332193,0.8235385797318087,0.9991161405974711,False
ENSG00000040487,3.209012250534564,3.240439120476207,0.014055673813288433,0.8237606887223102,0.9991161405974711,False
ENSG00000116852,3.2108880060671687,3.1708921431859793,-0.01807787445556882,0.8241428674500126,0.9991161405974711,False
ENSG00000160818,4.423289174918468,4.382276015328625,-0.013436155929893213,0.8245449182310081,0.9991161405974711,False
ENSG00000162396,1.6745723366364178,1.6439754492381098,-0.026587918574286277,0.8251998345378662,0.9991161405974711,False
ENSG00000152904,5.927314943148989,5.899871990970431,-0.006693931250750114,0.8253155851657648,0.9991161405974711,False
ENSG00000116521,6.439062995773513,6.400968372103634,-0.008559251147103108,0.8255600481219503,0.9991161405974711,False
ENSG00000143367,1.97069638950685,1.9405219146907884,-0.02224942470039725,0.8266334215692205,0.9991161405974711,False
ENSG00000149527,1.0831175607168004,1.0447796110705967,-0.05194236148225616,0.827742937695062,0.9991161405974711,False
ENSG00000179639,2.9658357522868837,3.1051037007602122,0.06618093688423364,0.8287971448803799,0.9991161405974711,False
ENSG00000204160,3.179812000581637,3.2262434058041594,0.020907288135937844,0.8296866466297406,0.9991161405974711,False
ENSG00000123472,3.321823650969022,3.2917307829370333,-0.01312516777075154,0.8299494869635354,0.9991161405974711,False
ENSG00000081985,2.1667736331315797,2.0937433489089523,-0.04944061945681221,0.830202214441456,0.9991161405974711,False
ENSG00000085999,1.2630086903303606,1.229006265808311,-0.039340717531180576,0.8303253613209922,0.9991161405974711,False
ENSG00000010072,4.457726625234812,4.483037200319353,0.008166499612826629,0.8309739834203242,0.9991161405974711,False
ENSG00000160712,4.154479108697023,4.21747024072652,0.02170510093723202,0.8313115093689649,0.9991161405974711,False
ENSG00000117400,0.6358160037482985,0.5848542180841034,-0.12033487842266984,0.831401660447847,0.9991161405974711,False
ENSG00000117625,5.692019499065984,5.712723960491229,0.005237297872449961,0.8321597870868838,0.9991161405974711,False
ENSG00000143845,1.2884154986369372,1.3234959414125338,0.03872619319076558,0.8325321753682604,0.9991161405974711,False
ENSG00000182183,2.953564919928328,3.003069805987175,0.02397263810298076,0.8332340530474117,0.9991161405974711,False
ENSG00000158006,4.147392494819837,4.107594437690355,-0.013907471274955677,0.8332821879235919,0.9991161405974711,False
ENSG00000132768,5.167378961725252,5.125648233414428,-0.011695946671076984,0.8334110555749905,0.9991161405974711,False
