feature,importance
ENSG00000163157,0.013915715159720593
ENSG00000116667,0.013818501664009225
ENSG00000116649,0.013810156952314514
ENSG00000270882,0.01369160843682532
ENSG00000077152,0.013649266490034704
ENSG00000175130,0.013639904419050117
ENSG00000117281,0.01332086367882972
ENSG00000132704,0.013299051205101867
ENSG00000187800,0.01320541188721074
ENSG00000196187,0.01273822465739714
ENSG00000244414,0.012331323942903342
ENSG00000174348,0.012210036670785561
ENSG00000132185,0.011915322960775384
ENSG00000116171,0.011813456004243243
ENSG00000117115,0.011613222519689482
ENSG00000143222,0.011485222967163533
ENSG00000219481,0.011378971938975234
ENSG00000162836,0.011200317681818492
ENSG00000116885,0.01113676505068445
ENSG00000184260,0.011068530018625724
ENSG00000175279,0.011035227681229968
ENSG00000117228,0.010821624050338534
ENSG00000143502,0.010820568689497535
ENSG00000131781,0.010784510594337665
ENSG00000158828,0.010776498020744655
ENSG00000143179,0.010328034575828177
ENSG00000173846,0.010129563730867746
ENSG00000198890,0.009944043803124109
ENSG00000203814,0.009796392884722073
ENSG00000162892,0.009529468087876308
ENSG00000203747,0.009337911353485464
ENSG00000081985,0.009132186468699382
ENSG00000136630,0.00909552093467331
ENSG00000131238,0.008929816817936809
ENSG00000122188,0.008782202442808645
ENSG00000134202,0.00865406622217622
ENSG00000134744,0.008343899652188081
ENSG00000117519,0.008199447965541177
ENSG00000162643,0.00805874723483423
ENSG00000135749,0.007997501930136729
ENSG00000196154,0.007982137780977873
ENSG00000158874,0.007967121709948146
ENSG00000184371,0.007948729279496034
ENSG00000155367,0.007743820951713517
ENSG00000116874,0.007734884105054641
ENSG00000117560,0.007665480125461961
ENSG00000084072,0.007573592320127834
ENSG00000121310,0.00755776301939573
ENSG00000116285,0.0075191571454242215
ENSG00000122417,0.007454482606050553
ENSG00000187554,0.007400334679221049
ENSG00000143409,0.007336248674781038
ENSG00000116679,0.0072177909282824275
ENSG00000162746,0.007149854348214729
ENSG00000184678,0.0071473171771586925
ENSG00000127074,0.007104903551357967
ENSG00000160818,0.0071046147300070014
ENSG00000163221,0.007093503798856207
ENSG00000168653,0.00705288035534095
ENSG00000163382,0.006951797926680418
ENSG00000090104,0.0069066988077069276
ENSG00000116741,0.006641026049644295
ENSG00000188672,0.006549904288487054
ENSG00000136634,0.006549712038047202
ENSG00000162367,0.0065218265258437744
ENSG00000173218,0.006466753842900473
ENSG00000163344,0.006445154664471454
ENSG00000117480,0.006274441006451019
